J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
4.4545454545454555e-02,2.6053447078154759e-07,1.4118082175363208e+12,2.0279934180114233e+09,1.3477767728148220e-06,7.2062116789571959e+00,7.9799467432953752e-01,4.7545820343641561e-04
4.5454545454545463e-02,2.7966300774367741e-07,1.5623118227150820e+12,2.1333516540779831e+09,1.3208218405204780e-06,7.1860094282963365e+00,7.9799503873920352e-01,4.8035288429414455e-04
4.6363636363636371e-02,2.9977507494917080e-07,1.7253951238526091e+12,2.2419337415632420e+09,1.2949239645595580e-06,7.1662072577840430e+00,7.9799540325056106e-01,4.8519954196556017e-04
4.7272727272727279e-02,3.2090046482562701e-07,1.9018316981458916e+12,2.3537722134601359e+09,1.2700221609097316e-06,7.1467896288356174e+00,7.9799576786165960e-01,4.8999957592054961e-04
4.8181818181818187e-02,3.4306926750751901e-07,2.0924262817334722e+12,2.4688992898900304e+09,1.2460600481164638e-06,7.1277418908960097e+00,7.9799613257062385e-01,4.9475431883740540e-04
4.9090909090909095e-02,3.6631186800115303e-07,2.2980153894081167e+12,2.5873468870477495e+09,1.2229854211294365e-06,7.1090502150351211e+00,7.9799649737564793e-01,4.9946504098540305e-04
5.0000000000000010e-02,3.9065894343008226e-07,2.5194679345047666e+12,2.7091466257287254e+09,1.2007498716293164e-06,7.0907015336361763e+00,7.9799686227499267e-01,5.0413295424433765e-04
5.0909090909090918e-02,4.1614146035697491e-07,2.7576858489574526e+12,2.8343298394632478e+09,1.1793084490339717e-06,7.0726834855186373e+00,7.9799722726698208e-01,5.0875921579704659e-04
5.1818181818181826e-02,4.4279067217861782e-07,3.0136047035242354e+12,2.9629275822838621e+09,1.1586193571881709e-06,7.0549843659182363e+00,7.9799759234999912e-01,5.1334493152691409e-04
5.2727272727272734e-02,4.7063811659071991e-07,3.2881943281765684e+12,3.0949706361482611e+09,1.1386436824302297e-06,7.0375930808172731e+00,7.9799795752248359e-01,5.1789115914865262e-04
5.3636363636363642e-02,4.9971561311947024e-07,3.5824594326505923e+12,3.2304895180388422e+09,1.1193451493128880e-06,7.0204991051788959e+00,7.9799832278292848e-01,5.2239891109753106e-04
5.4545454545454550e-02,5.3005526071668806e-07,3.8974402271536772e+12,3.3695144867565699e+09,1.1006899007523235e-06,7.0036924446918256e+00,7.9799868812987751e-01,5.2686915719938807e-04
5.5454545454545465e-02,5.6168943541769594e-07,4.2342130432506807e+12,3.5120755494387660e+09,1.0826462998005714e-06,6.9871636006759594e+00,7.9799905356192269e-01,5.3130282714179472e-04
5.6363636363636373e-02,5.9465078805387108e-07,4.5938909548467334e+12,3.6582024677825270e+09,1.0651847506044050e-06,6.9709035378444417e+00,7.9799941907770200e-01,5.3570081276312922e-04
5.7272727272727281e-02,6.2897224202662302e-07,4.9776243993987656e+12,3.8079247640473180e+09,1.0482775364116176e-06,6.9549036546413303e+00,7.9799978467589683e-01,5.4006397017740003e-04
5.8181818181818189e-02,6.6468699113135532e-07,5.3866017992185527e+12,3.9612717267927084e+09,1.0318986727672758e-06,6.9391557559179882e+00,7.9800015035523031e-01,5.4439312174733889e-04
5.9090909090909097e-02,7.0182849743479687e-07,5.8220501829464014e+12,4.1182724163996396e+09,1.0160237742598766e-06,6.9236520277267379e+00,7.9800051611446521e-01,5.4868905791978712e-04
6.0000000000000005e-02,7.4043048920180972e-07,6.2852358071658076e+12,4.2789556703756914e+09,1.0006299333816898e-06,6.9083850140390775e+00,7.9800088195240215e-01,5.5295253893460766e-04
6.0909090909090920e-02,7.8052695886973676e-07,6.7774647781558906e+12,4.4433501084558678e+09,9.8569561023758671e-07,6.8933475952147756e+00,7.9800124786787763e-01,5.5718429641764342e-04
6.1818181818181828e-02,8.2215216107058383e-07,7.3000836738162236e+12,4.6114841375216312e+09,9.7120053198453375e-07,6.8785329680651062e+00,7.9800161385976320e-01,5.6138503486746901e-04
6.2727272727272729e-02,8.6534061069297855e-07,7.8544801656520312e+12,4.7833859563120689e+09,9.5712560101770121e-07,6.8639346273737472e+00,7.9800197992696253e-01,5.6555543304361998e-04
6.3636363636363644e-02,9.1012708099283173e-07,8.4420836410011455e+12,4.9590835599966059e+09,9.4345281102341758e-07,6.8495463487442745e+00,7.9800234606841181e-01,5.6969614526556213e-04
6.4545454545454545e-02,9.5654660174059609e-07,9.0643658253175352e+12,5.1386047445579100e+09,9.3016517012840022e-07,6.8353621726664846e+00,7.9800271228307651e-01,5.7380780262795148e-04
6.5454545454545460e-02,1.0046344574100040e-06,9.7228414046199004e+12,5.3219771110292625e+09,9.1724663045235481e-07,6.8213763896961881e+00,7.9800307856995190e-01,5.7789101413947895e-04
6.6363636363636375e-02,1.0544261854047263e-06,1.0419068648066104e+13,5.5092280695818157e+09,9.0468202345093006e-07,6.8075835266573499e+00,7.9800344492806030e-01,5.8194636779085004e-04
6.7272727272727276e-02,1.1059575743216992e-06,1.1154650030652207e+13,5.7003848434694176e+09,8.9245700050121333e-07,6.7939783337830377e+00,7.9800381135645104e-01,5.8597443155720356e-04
6.8181818181818191e-02,1.1592646622518566e-06,1.1931232856075025e+13,5.8954744728480911e+09,8.8055797823983231e-07,6.7805557727188512e+00,7.9800417785419875e-01,5.8997575434005078e-04
6.9090909090909092e-02,1.2143837351108946e-06,1.2750509879632162e+13,6.0945238184447050e+09,8.6897208821786167e-07,6.7673110053224654e+00,7.9800454442040292e-01,5.9395086685250014e-04
7.0000000000000007e-02,1.2713513250089535e-06,1.3614219931359893e+13,6.2975595651325216e+09,8.5768713047696612e-07,6.7542393831933136e+00,7.9800491105418592e-01,5.9790028245289154e-04
7.0909090909090922e-02,1.3302042086498392e-06,1.4524148539243057e+13,6.5046082253761826e+09,8.4669153069750269e-07,6.7413364378788261e+00,7.9800527775469365e-01,6.0182449792964775e-04
7.1818181818181823e-02,1.3909794057587751e-06,1.5482128552488414e+13,6.7156961425527697e+09,8.3597430060181360e-07,6.7285978717052686e+00,7.9800564452109302e-01,6.0572399424082667e-04
7.2727272727272724e-02,1.4537141775459024e-06,1.6490040765038617e+13,6.9308494941942310e+09,8.2552500132583974e-07,6.7160195491836214e+00,7.9800601135257221e-01,6.0959923721224459e-04
7.3636363636363639e-02,1.5184460251952599e-06,1.7549814539126809e+13,7.1500942951096125e+09,8.1533370950492591e-07,6.7035974889504377e+00,7.9800637824833964e-01,6.1345067819616077e-04
7.4545454545454554e-02,1.5852126883795548e-06,1.8663428428888121e+13,7.3734564003987951e+09,8.0539098584161349e-07,6.6913278562037570e+00,7.9800674520762271e-01,6.1727875469334977e-04
7.5454545454545455e-02,1.6540521438128322e-06,1.9832910804330418e+13,7.6009615084225197e+09,7.9568784594346100e-07,6.6792069555947942e+00,7.9800711222966825e-01,6.2108389094201973e-04
7.6363636363636370e-02,1.7250026038153253e-06,2.1060340475087270e+13,7.8326351636155891e+09,7.8621573324685101e-07,6.6672312245489760e+00,7.9800747931374050e-01,6.2486649847379844e-04
7.7272727272727271e-02,1.7981025149148873e-06,2.2347847314534500e+13,8.0685027592656288e+09,7.7696649384985361e-07,6.6553972269794865e+00,7.9800784645912126e-01,6.2862697664091383e-04
7.8181818181818186e-02,1.8733905564685396e-06,2.3697612883904902e+13,8.3085895401872149e+09,7.6793235310190360e-07,6.6437016473696708e+00,7.9800821366510943e-01,6.3236571311520997e-04
7.9090909090909101e-02,1.9509056393125489e-06,2.5111871056620293e+13,8.5529206053366337e+09,7.5910589380726756e-07,6.6321412851965960e+00,7.9800858093101967e-01,6.3608308436145962e-04
8.0000000000000002e-02,2.0306869044272149e-06,2.6592908642509691e+13,8.8015209103121319e+09,7.5048003591605507e-07,6.6207130496751390e+00,7.9800894825618263e-01,6.3977945608570158e-04
8.0909090909090917e-02,2.1127737216363807e-06,2.8143066012435773e+13,9.0544152698344173e+09,7.4204801758250494e-07,6.6094139547965902e+00,7.9800931563994393e-01,6.4345518366153804e-04
8.1818181818181818e-02,2.1972056883202985e-06,2.9764737722804445e+13,9.3116283601183872e+09,7.3380337748744146e-07,6.5982411146462683e+00,7.9800968308166365e-01,6.4711061253438097e-04
8.2727272727272733e-02,2.2840226281537297e-06,3.1460373140272730e+13,9.5731847211942463e+09,7.2573993832572686e-07,6.5871917389791168e+00,7.9801005058071628e-01,6.5074607860580633e-04
8.3636363636363634e-02,2.3732645898643285e-06,3.3232477066543738e+13,9.8391087591613464e+09,7.1785179137072607e-07,6.5762631290372271e+00,7.9801041813648987e-01,6.5436190859893492e-04
8.4545454545454549e-02,2.4649718460116385e-06,3.5083610363270770e+13,1.0109424748381140e+10,7.1013328203459146e-07,6.5654526735934269e+00,7.9801078574838546e-01,6.5795842040602352e-04
8.5454545454545464e-02,2.5591848917858458e-06,3.7016390577061922e+13,1.0384156833610346e+10,7.0257899635024854e-07,6.5547578452064759e+00,7.9801115341581741e-01,6.6153592341929967e-04
8.6363636363636365e-02,2.6559444438253182e-06,3.9033492564570219e+13,1.0663329032074787e+10,6.9518374830720588e-07,6.5441761966744920e+00,7.9801152113821161e-01,6.6509471884599464e-04
8.7272727272727280e-02,2.7552914390567246e-06,4.1137649117795805e+13,1.0946965235503342e+10,6.8794256797849442e-07,6.5337053576735196e+00,7.9801188891500685e-01,6.6863510000870054e-04
8.8181818181818181e-02,2.8572670335440801e-06,4.3331651589212031e+13,1.1235089212071178e+10,6.8085069038298158e-07,6.5233430315716587e+00,7.9801225674565313e-01,6.7215735263123763e-04
8.9090909090909096e-02,2.9619126013682051e-06,4.5618350517360109e+13,1.1527724608342388e+10,6.7390354502831638e-07,6.5130869924047490e+00,7.9801262462961164e-01,6.7566175511193233e-04
9.0000000000000011e-02,3.0692697335149928e-06,4.8000656252291523e+13,1.1824894951128805e+10,6.6709674608850678e-07,6.5029350820068368e+00,7.9801299256635472e-01,6.7914857878397048e-04
9.0909090909090912e-02,3.1793802367808990e-06,5.0481539581110398e+13,1.2126623649303013e+10,6.6042608317077351e-07,6.4928852072847620e+00,7.9801336055536520e-01,6.8261808816399137e-04
9.1818181818181827e-02,3.2922861326981617e-06,5.3064032353709664e+13,1.2432933995578123e+10,6.5388751263061880e-07,6.4829353376279171e+00,7.9801372859613595e-01,6.8607054118968377e-04
9.2727272727272728e-02,3.4080296564809079e-06,5.5751228108763164e+13,1.2743849168260990e+10,6.4747714939743522e-07,6.4730835024450766e+00,7.9801409668817014e-01,6.8950618944702620e-04
9.3636363636363643e-02,3.5266532559710170e-06,5.8546282699299844e+13,1.3059392232902384e+10,6.4119125927753855e-07,6.4633277888232987e+00,7.9801446483098060e-01,6.9292527838687437e-04
9.4545454545454544e-02,3.6481995906140439e-06,6.1452414918839617e+13,1.3379586143962208e+10,6.3502625170008278e-07,6.4536663392981382e+00,7.9801483302408915e-01,6.9632804753274528e-04
9.5454545454545459e-02,3.7727115304509769e-06,6.4472907127666203e+13,1.3704453746437075e+10,6.2897867287750756e-07,6.4440973497305460e+00,7.9801520126702730e-01,6.9971473067965116e-04
9.6363636363636374e-02,3.9002321551079038e-06,6.7611105878630289e+13,1.4034017777388237e+10,6.2304519935426461e-07,6.4346190672861878e+00,7.9801556955933528e-01,7.0308555608381126e-04
9.7272727272727275e-02,4.0308047528174790e-06,7.0870422543629281e+13,1.4368300867497204e+10,6.1722263191608236e-07,6.4252297885077212e+00,7.9801593790056180e-01,7.0644074664501450e-04
9.8181818181818190e-02,4.1644728194494131e-06,7.4254333940021891e+13,1.4707325542566761e+10,6.1150788983797522e-07,6.4159278574773113e+00,7.9801630629026388e-01,7.0978052008114181e-04
9.9090909090909091e-02,4.3012800575498681e-06,7.7766382956969391e+13,1.5051114224970591e+10,6.0589800544915283e-07,6.4067116640642787e+00,7.9801667472800686e-01,7.1310508909528140e-04
1.0000000000000001e-01,4.4412703753982367e-06,8.1410179182006547e+13,1.5399689235084040e+10,6.0039011899413350e-07,6.3975796422523530e+00,7.9801704321336386e-01,7.1641466153611849e-04
