J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
1.0000000000000000e-02,1.3821321367993475e-09,7.8839482546442759e+08,4.7924137891794302e+07,6.0036295469054713e-06,8.7001194898013754e+00,7.9798093739392784e-01,2.2294973202442619e-04
1.0909090909090910e-02,1.8753026459564288e-09,1.2195804114882681e+09,5.9605666624828689e+07,5.5033295473677648e-06,8.6131085603053847e+00,7.9798129448540156e-01,2.3300383650399502e-04
1.1818181818181818e-02,2.4830166810845302e-09,1.8218095061934390e+09,7.2850697460604489e+07,5.0799987811591306e-06,8.5330663006431937e+00,7.9798165199015425e-01,2.4265264106100554e-04
1.2727272727272728e-02,3.2199497586461808e-09,2.6416343810557752e+09,8.7724012643917158e+07,4.7171438409521767e-06,8.4589587769792089e+00,7.9798200987681644e-01,2.5194191687938155e-04
1.3636363636363637e-02,4.1013617232128561e-09,3.7333990591271849e+09,1.0428797724304534e+08,4.4026695613981379e-06,8.3899663544266723e+00,7.9798236811848333e-01,2.6090940621603242e-04
1.4545454545454545e-02,5.1430757286158867e-09,5.1598473301837006e+09,1.2260279346128370e+08,4.1275045685039028e-06,8.3254282826389527e+00,7.9798272669182269e-01,2.6958666698764739e-04
1.5454545454545455e-02,6.3614593571790268e-09,6.9927313768397923e+09,1.4272671316180405e+08,3.8847119292300599e-06,8.2648041105622063e+00,7.9798308557640651e-01,2.7800040565347574e-04
1.6363636363636365e-02,7.7734075365372414e-09,9.3134209718198967e+09,1.6471621764121908e+08,3.6688962512236258e-06,8.2076461468291821e+00,7.9798344475419902e-01,2.8617346191547730e-04
1.7272727272727273e-02,9.3963269850605344e-09,1.2213513211565781e+10,1.8862617131846464e+08,3.4757980142139559e-06,8.1535793760127753e+00,7.9798380420915838e-01,2.9412555036293909e-04
1.8181818181818181e-02,1.1248121970133461e-08,1.5795442755365576e+10,2.1450995435414022e+08,3.3020096019937754e-06,8.1022865324085451e+00,7.9798416392692295e-01,3.0187382861177297e-04
1.9090909090909092e-02,1.3347181204070164e-08,2.0173092542905048e+10,2.4241957804103395e+08,3.1447724681118185e-06,8.0534968193351055e+00,7.9798452389455943e-01,3.0943333912249231e-04
2.0000000000000004e-02,1.5712365733355136e-08,2.5472404965350903e+10,2.7240578594582409e+08,3.0018296200250286e-06,8.0069772550947551e+00,7.9798488410036039e-01,3.1681735742367681e-04
2.0909090909090912e-02,1.8362997701661576e-08,3.1831993468571350e+10,3.0451814315605944e+08,2.8713165856334949e-06,7.9625259442031968e+00,7.9798524453367614e-01,3.2403766989618274e-04
2.1818181818181820e-02,2.1318849885945980e-08,3.9403754567858704e+10,3.3880511550133753e+08,2.7516796381922446e-06,7.9199667817363926e+00,7.9798560518477835e-01,3.3110479779032922e-04
2.2727272727272728e-02,2.4600135920847311e-08,4.8353480256643929e+10,3.7531414026258039e+08,2.6416136472377104e-06,7.8791452394296648e+00,7.9798596604474459e-01,3.3802817967712906e-04
2.3636363636363636e-02,2.8227501138839734e-08,5.8861470792302193e+10,4.1409168959676343e+08,2.5400142716106612e-06,7.8399249787411520e+00,7.9798632710536210e-01,3.4481632139001260e-04
2.4545454545454547e-02,3.2222013964001338e-08,7.1123147844006104e+10,4.5518332768790096e+08,2.4459407762513552e-06,7.8021851034647653e+00,7.9798668835904640e-01,3.5147692027011882e-04
2.5454545454545459e-02,3.6605157805648389e-08,8.5349667988533890e+10,4.9863376246053624e+08,2.3585868168249502e-06,7.7658179122333761e+00,7.9798704979877122e-01,3.5801696890202297e-04
2.6363636363636367e-02,4.1398823405225703e-08,1.0176853654147897e+11,5.4448689255521870e+08,2.2772572689056495e-06,7.7307270455862973e+00,7.9798741141800922e-01,3.6444284233308867e-04
2.7272727272727275e-02,4.6625301595526639e-08,1.2062422171133423e+11,5.9278585015117085e+08,2.2013496913260928e-06,7.6968259472919494e+00,7.9798777321068082e-01,3.7076037188156849e-04
2.8181818181818183e-02,5.2307276436553570e-08,1.4217876906597083e+11,6.4357304013476944e+08,2.1303393772639958e-06,7.6640365780602924e+00,7.9798813517110878e-01,3.7697490797174420e-04
2.9090909090909091e-02,5.8467818696307444e-08,1.6671241630071985e+11,6.9689017603521788e+08,2.0637672082509141e-06,7.6322883335404166e+00,7.9798849729398080e-01,3.8309137392672916e-04
3.0000000000000006e-02,6.5130379648559112e-08,1.9452420829873239e+11,7.5277831309014213e+08,2.0012297165425680e-06,7.6015171288654662e+00,7.9798885957431320e-01,3.8911431226069715e-04
3.0909090909090914e-02,7.2318785162616140e-08,2.2593261247426233e+11,8.1127787875171077e+08,1.9423709011890048e-06,7.5716646198988693e+00,7.9798922200742373e-01,3.9504792471071787e-04
3.1818181818181822e-02,8.0057230062945732e-08,2.6127613439114035e+11,8.7242870090390623e+08,1.8868754470631894e-06,7.5426775373941997e+00,7.9798958458890323e-01,4.0089610701326298e-04
3.2727272727272730e-02,8.8370272738304632e-08,3.0091393364597205e+11,9.3627003402041054e+08,1.8344630740544207e-06,7.5145071149770111e+00,7.9798994731459305e-01,4.0666247924458972e-04
3.3636363636363638e-02,9.7282829983401652e-08,3.4522644001484753e+11,1.0028405834777319e+09,1.7848838026027691e-06,7.4871085955137833e+00,7.9799031018056421e-01,4.1235041239869448e-04
3.4545454545454546e-02,1.0682017205538962e-07,3.9461596984665063e+11,1.0721785281857123e+09,1.7379139667880959e-06,7.4604408033274368e+00,7.9799067318309858e-01,4.1796305175662658e-04
3.5454545454545461e-02,1.1700791793201588e-07,4.4950734270592261e+11,1.1443215417086086e+09,1.6933528407846922e-06,7.4344657719865017e+00,7.9799103631867285e-01,4.2350333750964918e-04
3.6363636363636369e-02,1.2787203075725971e-07,5.1034849825321826e+11,1.2193068120057704e+09,1.6510197713497947e-06,7.4091484192268577e+00,7.9799139958394283e-01,4.2897402302002517e-04
3.7272727272727277e-02,1.3943881346266336e-07,5.7761111335891663e+11,1.2971710599178791e+09,1.6107517299475876e-06,7.3844562620194711e+00,7.9799176297573082e-01,4.3437769104230617e-04
3.8181818181818185e-02,1.5173490455328044e-07,6.5179121944448511e+11,1.3779505565072362e+09,1.5724012145697753e-06,7.3603591659779433e+00,7.9799212649101248e-01,4.3971676817682330e-04
3.9090909090909093e-02,1.6478727404816747e-07,7.3340982004584973e+11,1.4616811393492906e+09,1.5358344443253919e-06,7.3368291242562202e+00,7.9799249012690765e-01,4.4499353778537165e-04
4.0000000000000001e-02,1.7862321956617522e-07,8.2301350859368506e+11,1.5483982278621292e+09,1.5009298002229007e-06,7.3138400618674888e+00,7.9799285388066876e-01,4.5021015156448729e-04
4.0909090909090916e-02,1.9327036254857393e-07,9.2117508640586487e+11,1.6381368377518208e+09,1.4675764738479906e-06,7.2913676619955874e+00,7.9799321774967191e-01,4.5536863994306923e-04
4.1818181818181824e-02,2.0875664461064635e-07,1.0284941808868241e+12,1.7309315946429398e+09,1.4356732923009455e-06,7.2693892113980674e+00,7.9799358173140966e-01,4.6047092144709814e-04
4.2727272727272732e-02,2.2511032401522745e-07,1.1455978639310054e+12,1.8268167469586434e+09,1.4051276931416509e-06,7.2478834624364010e+00,7.9799394582348260e-01,4.6551881115426973e-04
4.3636363636363640e-02,2.4235997226126886e-07,1.2731412705234983e+12,1.9258261781047428e+09,1.3758548274669279e-06,7.2268305096330412e+00,7.9799431002359278e-01,4.7051402834426834e-04
