J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
1.0000000000000000e-02,6.6550642631574745e-07,8.5928595561773641e+13,2.3075812285566837e+10,3.4942704158732610e-06,8.1588798820533235e+00,3.7512938800545281e-01,9.4127783907287751e-02
1.0909090909090910e-02,7.9554765108164106e-07,1.0576108290836406e+14,2.5286130842285172e+10,3.2832606294846339e-06,8.0965923019486858e+00,3.8451961349145791e-01,8.9515412113851958e-02
1.1818181818181818e-02,9.4014602247349712e-07,1.2859731868019841e+14,2.7583501139465668e+10,3.0968149809932404e-06,8.0381294368238247e+00,3.9290766712937425e-01,8.5531515296720373e-02
1.2727272727272728e-02,1.0999180065960382e-06,1.5468675286971459e+14,2.9966064178116756e+10,2.9308335502692408e-06,7.9830421496985320e+00,4.0045256722640266e-01,8.2053002604012812e-02
1.3636363636363637e-02,1.2754700390011943e-06,1.8428496233794875e+14,3.2432201638957783e+10,2.7820905042428167e-06,7.9309579040328861e+00,4.0728123887847312e-01,7.8987103177001181e-02
1.4545454545454545e-02,1.4673995092560832e-06,2.1765356235561766e+14,3.4980484140553307e+10,2.6480101341097077e-06,7.8815637441302808e+00,4.1349619507133012e-01,7.6262557566685957e-02
1.5454545454545455e-02,1.6762955883035305e-06,2.5506012347202606e+14,3.7609634232150688e+10,2.5265093069429615e-06,7.8345939084548286e+00,4.1918112208565567e-01,7.3823715281540789e-02
1.6363636363636365e-02,1.9027399320329350e-06,2.9677809334544106e+14,4.0318499099172226e+10,2.4158841231300133e-06,7.7898205956238549e+00,4.2440500500813971e-01,7.1626476496820329e-02
1.7272727272727273e-02,2.1473072858811601e-06,3.4308672315822762e+14,4.3106029901256958e+10,2.3147267845328106e-06,7.7470469399152142e+00,4.2922521822125254e-01,6.9635438242721073e-02
1.8181818181818181e-02,2.4105660092406705e-06,3.9427099825528356e+14,4.5971265779555099e+10,2.2218635831242013e-06,7.7061015745814201e+00,4.3368987044034601e-01,6.7821847345569480e-02
1.9090909090909092e-02,2.6930785340813850e-06,4.5062157266199744e+14,4.8913321238516670e+10,2.1363079498736121e-06,7.6668343609775480e+00,4.3783960513612497e-01,6.6162105880190364e-02
2.0000000000000004e-02,2.9954017690332970e-06,5.1243470717160544e+14,5.1931376023462151e+10,2.0572244310317999e-06,7.6291129896963721e+00,4.4170899784810241e-01,6.4636662582162621e-02
2.0909090909090912e-02,3.3180874577869162e-06,5.8001221071275775e+14,5.5024666881227875e+10,1.9839007166650858e-06,7.5928202445891904e+00,4.4532765153036363e-01,6.3229178706679601e-02
2.1818181818181820e-02,3.6616824988976816e-06,6.5366138473915900e+14,5.8192480767271294e+10,1.9157256855723444e-06,7.5578517779116101e+00,4.4872106317537280e-01,6.1925892194637684e-02
2.2727272727272728e-02,4.0267292327038607e-06,7.3369497040433738e+14,6.1434149181334908e+10,1.8521720020518229e-06,7.5241142845717217e+00,4.5191131540668300e-01,6.0715127231595341e-02
2.3636363636363636e-02,4.4137657000200540e-06,8.2043109830951338e+14,6.4749043396218658e+10,1.7927821958688888e-06,7.4915239915298244e+00,4.5491763284095210e-01,5.9586911830399727e-02
2.4545454545454547e-02,4.8233258764343351e-06,9.1419324063075138e+14,6.8136570402190491e+10,1.7371574355153712e-06,7.4600053985848609e+00,4.5775683303343068e-01,5.8532676656536310e-02
2.5454545454545459e-02,5.2559398853922428e-06,1.0153101654521575e+15,7.1596169431487350e+10,1.6849484039635412e-06,7.4294902215244853e+00,4.6044369455866552e-01,5.7545015643625380e-02
2.6363636363636367e-02,5.7121341927205763e-06,1.1241158931456581e+15,7.5127308957776962e+10,1.6358478302423490e-06,7.3999164995373894e+00,4.6299125944200126e-01,5.6617494093298769e-02
2.7272727272727275e-02,6.1924317848312369e-06,1.2409496546545300e+15,7.8729484088238098e+10,1.5895843357477829e-06,7.3712278369790534e+00,4.6541108319649882e-01,5.5744493617725779e-02
2.8181818181818183e-02,6.6973523325021837e-06,1.3661558515502945e+15,8.2402214282944855e+10,1.5459173324161880e-06,7.3433727558006092e+00,4.6771344275318394e-01,5.4921085924117430e-02
2.9090909090909091e-02,7.2274123418540060e-06,1.5000840177443338e+15,8.6145041349248093e+10,1.5046327684287861e-06,7.3163041397197421e+00,4.6990751033067502e-01,5.4142929366481976e-02
3.0000000000000006e-02,7.7831252939087675e-06,1.6430887827454070e+15,8.9957527668848434e+10,1.4655395613473869e-06,7.2899787549059214e+00,4.7200149958225135e-01,5.3406183609557296e-02
3.0909090909090914e-02,8.3650017739298990e-06,1.7955298363644852e+15,9.3839254623101990e+10,1.4284665922993329e-06,7.2643568348375629e+00,4.7400278904686033e-01,5.2707438806908417e-02
3.1818181818181822e-02,8.9735495915864642e-06,1.9577718947782565e+15,9.7789821188281265e+10,1.3932601607471974e-06,7.2394017192615223e+00,4.7591802691612345e-01,5.2043656489678500e-02
3.2727272727272730e-02,9.6092738928332240e-06,2.1301846678637200e+15,1.0180884267718973e+11,1.3597818194562696e-06,7.2150795389899409e+00,4.7775322033958162e-01,5.1412119964848235e-02
3.3636363636363638e-02,1.0272677264316522e-05,2.3131428277343835e+15,1.0589594960779114e+11,1.3279065249365018e-06,7.1913589397100184e+00,4.7951381187031039e-01,5.0810392482604647e-02
3.4545454545454546e-02,1.0964259830980847e-05,2.5070259784006460e+15,1.1005078668222984e+11,1.2975210509455244e-06,7.1682108391439039e+00,4.8120474516494494e-01,5.0236281787201076e-02
3.5454545454545461e-02,1.1684519347506907e-05,2.7122186264961275e+15,1.1427301186259821e+11,1.2685226223696762e-06,7.1456082128335465e+00,4.8283052166345114e-01,4.9687809941373076e-02
3.6363636363636369e-02,1.2433951284121477e-05,2.9291101530108665e+15,1.1856229553167149e+11,1.2408177345437968e-06,7.1235259045904558e+00,4.8439524966488595e-01,4.9163187529602928e-02
3.7272727272727277e-02,1.3213048907232861e-05,3.1580947859617840e+15,1.2291831972832573e+11,1.2143211292687626e-06,7.1019404582779533e+00,4.8590268696623562e-01,4.8660791515140349e-02
3.8181818181818185e-02,1.4022303355369650e-05,3.3995715739727060e+15,1.2734077744952954e+11,1.1889549037659922e-06,7.0808299681043803e+00,4.8735627803131970e-01,4.8179146159724587e-02
3.9090909090909093e-02,1.4862203710785275e-05,3.6539443607068600e+15,1.3182937201128764e+11,1.1646477328457590e-06,7.0601739450354986e+00,4.8875918649381500e-01,4.7716906521930745e-02
4.0000000000000001e-02,1.5733237067039735e-05,3.9216217600910610e+15,1.3638381646185625e+11,1.1413341878435362e-06,7.0399531972879297e+00,4.9011432366598540e-01,4.7272844135658722e-02
4.0909090909090916e-02,1.6635888592926395e-05,4.2030171323200130e+15,1.4100383304221786e+11,1.1189541385512091e-06,7.0201497231567718e+00,4.9142437361651947e-01,4.6845834539139514e-02
4.1818181818181824e-02,1.7570641592982297e-05,4.4985485605824905e+15,1.4568915268860071e+11,1.0974522265715560e-06,7.0007466146821313e+00,4.9269181529146761e-01,4.6434846380730921e-02
4.2727272727272732e-02,1.8537977564847405e-05,4.8086388284805780e+15,1.5043951457293466e+11,1.0767774003310842e-06,6.9817279708647595e+00,4.9391894207888137e-01,4.6038931873103608e-02
4.3636363636363640e-02,1.9538376253702190e-05,5.1337153981095530e+15,1.5525466567753418e+11,1.0568825034843004e-06,6.9630788193171043e+00,4.9510787915675847e-01,4.5657218404521797e-02
