J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
1.0000000000000000e-02,8.2464101211810993e-09,2.5437899234550232e+10,2.8593655066508669e+08,5.8949854909398228e-06,8.6818573517198967e+00,7.2326802330768536e-01,1.5440093826486337e-03
1.0909090909090910e-02,1.0962606963802307e-08,3.7775500102081902e+10,3.4844162217355919e+08,5.4038396479491158e-06,8.5948650257954888e+00,7.2328180246518103e-01,1.5810115800317551e-03
1.1818181818181818e-02,1.4244956221060234e-08,5.4348620512425911e+10,4.1794120994255465e+08,4.9882511610429432e-06,8.5148406585881773e+00,7.2329506791234033e-01,1.6158380136179972e-03
1.2727272727272728e-02,1.8154145294250665e-08,7.6112541743872787e+10,4.9458985099256325e+08,4.6320295314211223e-06,8.4407503947552023e+00,7.2330787636680449e-01,1.6487705058994492e-03
1.3636363636363637e-02,2.2752152000312767e-08,1.0414311647832549e+11,5.7853368470513284e+08,4.3233016679342629e-06,8.3717746643135360e+00,7.2332027472612814e-01,1.6800372379434040e-03
1.4545454545454545e-02,2.8102177018343176e-08,1.3964175985103644e+11,6.6991146671674526e+08,4.0531627097226442e-06,8.3072527713252491e+00,7.2333230230363477e-01,1.7098257979492229e-03
1.5454545454545455e-02,3.4268584223610730e-08,1.8394028250310025e+11,7.6885540193301392e+08,3.8148030258499287e-06,8.2466443108914849e+00,7.2334399244822589e-01,1.7382924493447116e-03
1.6363636363636365e-02,4.1316847544895057e-08,2.3850558085385995e+11,8.7549183809879351e+08,3.6029262129657595e-06,8.1895016312060989e+00,7.2335537374395120e-01,1.7655688691814114e-03
1.7272727272727273e-02,4.9313503284565302e-08,3.0494419748962531e+11,9.8994185000769830e+08,3.4133508817932745e-06,8.1354497510625468e+00,7.2336647091552730e-01,1.7917671479321228e-03
1.8181818181818181e-02,5.8326107063515619e-08,3.8500676271457928e+11,1.1123217366481829e+09,3.2427319067265326e-06,8.0841714345973319e+00,7.2337730552348900e-01,1.8169835661715939e-03
1.9090909090909092e-02,6.8423194719476819e-08,4.8059232681155615e+11,1.2427434481114936e+09,3.0883613177454251e-06,8.0353959113417890e+00,7.2338789650585822e-01,1.8413014928945837e-03
2.0000000000000004e-02,7.9674246613889665e-08,5.9375259133450098e+11,1.3813149551645224e+09,2.9480234940710409e-06,7.9888902227723966e+00,7.2339826060587775e-01,1.8647936414149576e-03
2.0909090909090912e-02,9.2149654900241244e-08,7.2669604673814856e+11,1.5281405715230262e+09,2.8198881330546276e-06,7.9444524940157537e+00,7.2340841271383227e-01,1.8875238476658562e-03
2.1818181818181820e-02,1.0592069338344608e-07,8.8179202280356860e+11,1.6833212367341466e+09,2.7024299765974903e-06,7.9019066385754542e+00,7.2341836614318100e-01,1.9095484881726560e-03
2.2727272727272728e-02,1.2105948965994536e-07,1.0615746575931285e+12,1.8469547659631057e+09,2.5943678030512860e-06,7.8610981447446884e+00,7.2342813285581942e-01,1.9309176225313471e-03
2.3636363636363636e-02,1.3763899927791202e-07,1.2687467900771904e+12,2.0191360717713544e+09,2.4946174977680256e-06,7.8218906889250164e+00,7.2343772364749270e-01,1.9516759226905710e-03
