J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
2.4545454545454547e-02,1.5573298169466725e-07,1.5061837810274355e+12,2.1999573619989467e+09,2.4022555523163244e-06,7.7841633884529990e+00,7.2344714830166190e-01,1.9718634354116125e-03
2.5454545454545459e-02,1.7541597784195346e-07,1.7769372663446565e+12,2.3895083171456904e+09,2.3164903852112770e-06,7.7478085542809740e+00,7.2345641571815578e-01,1.9915162128666584e-03
2.6363636363636367e-02,1.9676328913526202e-07,2.0842388465840486e+12,2.5878762500452943e+09,2.2366395962241101e-06,7.7127298381949165e+00,7.2346553402148628e-01,2.0106668380313023e-03
2.7272727272727275e-02,2.1985095778566240e-07,2.4315037161051646e+12,2.7951462501644549e+09,2.1621117697804958e-06,7.6788406942636733e+00,7.2347451065263224e-01,2.0293448654134941e-03
2.8181818181818183e-02,2.4475574829085604e-07,2.8223342349738691e+12,3.0114013144819212e+09,2.0923918002425648e-06,7.6460630926599515e+00,7.2348335244727524e-01,2.0475771931045945e-03
2.9090909090909091e-02,2.7155512999765864e-07,3.2605234464814990e+12,3.2367224665983067e+09,2.0270289686690140e-06,7.6143264377504778e+00,7.2349206570286106e-01,2.0653883787057387e-03
3.0000000000000006e-02,3.0032726064085687e-07,3.7500585429058760e+12,3.4711888654745359e+09,1.9656271874124228e-06,7.5835666527212151e+00,7.2350065623637716e-01,2.0828009090704358e-03
3.0909090909090914e-02,3.3115097077532115e-07,4.2951242819508452e+12,3.7148779050017662e+09,1.9078369662365367e-06,7.5537254008922616e+00,7.2350912943437640e-01,2.0998354317986888e-03
3.1818181818181822e-02,3.6410574902565862e-07,4.9001063560636699e+12,3.9678653054113774e+09,1.8533487556568193e-06,7.5247494199394600e+00,7.2351749029647927e-01,2.1165109548613656e-03
3.2727272727272730e-02,3.9927172809094198e-07,5.5695947167933350e+12,4.2302251974498782e+09,1.8018873997046727e-06,7.4965899499255189e+00,7.2352574347337062e-01,2.1328450195228421e-03
3.3636363636363638e-02,4.3672967144006669e-07,6.3083868559702080e+12,4.5020302000231791e+09,1.7532074882392903e-06,7.4692022397192481e+00,7.2353389330011741e-01,2.1488538507666135e-03
3.4545454545454546e-02,4.7656096065039463e-07,7.1214910456374551e+12,4.7833514920380516e+09,1.7070894430902607e-06,7.4425451192484715e+00,7.2354194382549430e-01,2.1645524886785340e-03
3.5454545454545461e-02,5.1884758333792108e-07,8.0141295382847471e+12,5.0742588789760761e+09,1.6633362063277311e-06,7.4165806273271038e+00,7.2354989883788989e-01,2.1799549036296624e-03
3.6363636363636369e-02,5.6367212164112377e-07,8.9917417290850586e+12,5.3748208547610626e+09,1.6217704252808658e-06,7.3912736866066489e+00,7.2355776188826615e-01,2.1950740976200531e-03
3.7272727272727277e-02,6.1111774121278976e-07,1.0059987281380869e+13,5.6851046592983046e+09,1.5822320495050880e-06,7.3665918186740678e+00,7.2356553631057330e-01,2.2099221937447421e-03
3.8181818181818185e-02,6.6126818069213678e-07,1.1224749217006568e+13,6.0051763321556578e+09,1.5445762710303240e-06,7.3425048934833788e+00,7.2357322523995560e-01,2.2245105154311906e-03
3.9090909090909093e-02,7.1420774161909871e-07,1.2492136972532934e+13,6.3351007626762619e+09,1.5086717520158813e-06,7.3189849082770149e+00,7.2358083162903608e-01,2.2388496568289070e-03
4.0000000000000001e-02,7.7002127876891622e-07,1.3868489422875473e+13,6.6749417369011469e+09,1.4743990940810675e-06,7.2960057919231591e+00,7.2358835826252066e-01,2.2529495455233866e-03
4.0909090909090916e-02,8.2879419087115010e-07,1.5360377873083846e+13,7.0247619814937983e+09,1.4416495117270969e-06,7.2735432312470234e+00,7.2359580777032839e-01,2.2668194985621982e-03
4.1818181818181824e-02,8.9061241169750634e-07,1.6974609019673902e+13,7.3846232049934950e+09,1.4103236787850759e-06,7.2515745164495211e+00,7.2360318263942958e-01,2.2804682726412693e-03
4.2727272727272732e-02,9.5556240149173088e-07,1.8718227882361043e+13,7.7545861365782156e+09,1.3803307221247716e-06,7.2300784031524890e+00,7.2361048522454052e-01,2.2939041091714161e-03
4.3636363636363640e-02,1.0237311387224288e-06,2.0598520707193887e+13,8.1347105625481949e+09,1.3515873411477516e-06,7.2090349889689236e+00,7.2361771775780848e-01,2.3071347748449579e-03
4.4545454545454555e-02,1.0952061121393039e-06,2.2623017841965004e+13,8.5250553607039127e+09,1.3240170350963477e-06,7.1884256028011517e+00,7.2362488235760136e-01,2.3201675982353464e-03
4.5454545454545463e-02,1.1700753131164793e-06,2.4799496584794512e+13,8.9256785327886753e+09,1.2975494230838013e-06,7.1682327053233097e+00,7.2363198103650217e-01,2.3330095028905474e-03
4.6363636363636371e-02,1.2484272282662056e-06,2.7135984006673676e+13,9.3366372351365623e+09,1.2721196441197412e-06,7.1484397993192816e+00,7.2363901570859246e-01,2.3456670373188846e-03
4.7272727272727279e-02,1.3303508323083780e-06,2.9640759748750398e+13,9.7579878076604061e+09,1.2476678263623794e-06,7.1290313487275085e+00,7.2364598819610226e-01,2.3581464022140483e-03
4.8181818181818187e-02,1.4159355811820819e-06,3.2322358795089254e+13,1.0189785801299885e+10,1.2241386164544158e-06,7.1099927053973850e+00,7.2365290023549245e-01,2.3704534752213573e-03
4.9090909090909095e-02,1.5052714053865182e-06,3.5189574221609641e+13,1.0632086004039980e+10,1.2014807611540855e-06,7.0913100426921742e+00,7.2365975348302791e-01,2.3825938335092687e-03
5.0000000000000010e-02,1.5984487035393823e-06,3.8251459921864805e+13,1.1084942465599043e+10,1.1796467346057260e-06,7.0729702951845601e+00,7.2366654951989173e-01,2.3945727743774391e-03
5.0909090909090918e-02,1.6955583361417105e-06,4.1517333310299430e+13,1.1548408520878006e+10,1.1585924055449756e-06,7.0549611037860220e+00,7.2367328985688684e-01,2.4063953341045270e-03
5.1818181818181826e-02,1.7966916195389845e-06,4.4996778003594969e+13,1.2022536812254438e+10,1.1382767395344104e-06,7.0372707657328668e+00,7.2367997593876499e-01,2.4180663052146790e-03
5.2727272727272734e-02,1.9019403200688154e-06,4.8699646480679375e+13,1.2507379310797365e+10,1.1186615320018785e-06,7.0198881889220512e+00,7.2368660914821858e-01,2.4295902523206237e-03
5.3636363636363642e-02,2.0113966483867515e-06,5.2636062721980375e+13,1.3002987336476097e+10,1.0997111684269056e-06,7.0028028501504735e+00,7.2369319080956573e-01,2.4409715266831677e-03
5.4545454545454550e-02,2.1251532539588131e-06,5.6816424828296422e+13,1.3509411577408081e+10,1.0813924085086570e-06,6.9860047568646886e+00,7.2369972219215983e-01,2.4522142796105490e-03
5.5454545454545465e-02,2.2433032197219204e-06,6.1251407620264461e+13,1.4026702108263296e+10,1.0636741915614089e-06,6.9694844120709218e+00,7.2370620451354517e-01,2.4633224748090280e-03
5.6363636363636373e-02,2.3659400568905756e-06,6.5951965218167586e+13,1.4554908407787308e+10,1.0465274607442052e-06,6.9532327821000237e+00,7.2371263894238314e-01,2.4742998997806273e-03
5.7272727272727281e-02,2.4931576999126480e-06,7.0929333603041875e+13,1.5094079375558157e+10,1.0299250040296643e-06,6.9372412669511014e+00,7.2371902660116871e-01,2.4851501763569765e-03
5.8181818181818189e-02,2.6250505015746466e-06,7.6195033159945734e+13,1.5644263348063187e+10,1.0138413100801243e-06,6.9215016729691037e+00,7.2372536856875624e-01,2.4958767704480857e-03
5.9090909090909097e-02,2.7617132282268616e-06,8.1760871202501188e+13,1.6205508113995239e+10,9.9825243743000346e-07,6.9060061876433334e+00,7.2373166588270854e-01,2.5064830010731272e-03
6.0000000000000005e-02,2.9032410551487157e-06,8.7638944480576875e+13,1.6777860928968540e+10,9.8313589555837940e-07,6.8907473563279948e+00,7.2373791954148681e-01,2.5169720487392632e-03
6.0909090909090920e-02,3.0497295620330166e-06,9.3841641670625594e+13,1.7361368529593632e+10,9.6847053661240289e-07,6.8757180607140933e+00,7.2374413050649122e-01,2.5273469632229287e-03
6.1818181818181828e-02,3.2012747285892469e-06,1.0038164584935234e+14,1.7956077146978111e+10,9.5423645668422391e-07,6.8609114988960913e+00,7.2375029970396887e-01,2.5376106708049967e-03
6.2727272727272729e-02,3.3579729302603040e-06,1.0727193695103742e+14,1.8562032519680470e+10,9.4041490567237125e-07,6.8463211668937349e+00,7.2375642802679441e-01,2.5477659810055064e-03
6.3636363636363644e-02,3.5199209340488110e-06,1.1452579420891600e+14,1.9179279906150642e+10,9.2698820486907916e-07,6.8319408415033287e+00,7.2376251633613753e-01,2.5578155928593425e-03
6.4545454545454545e-02,3.6872158944462503e-06,1.2215679858080033e+14,1.9807864096671661e+10,9.1393967151214350e-07,6.8177645643656026e+00,7.2376856546302470e-01,2.5677621007700311e-03
6.5454545454545460e-02,3.8599553494636472e-06,1.3017883515944792e+14,2.0447829424844021e+10,9.0125354962386180e-07,6.8037866271476988e+00,7.2377457620980135e-01,2.5776079999757701e-03
6.6363636363636375e-02,4.0382372167659516e-06,1.3860609556842028e+14,2.1099219778668072e+10,8.8891494653364736e-07,6.7900015577464350e+00,7.2378054935150704e-01,2.5873556916588395e-03
6.7272727272727276e-02,4.2221597898777418e-06,1.4745308034178809e+14,2.1762078611095306e+10,8.7690977454951179e-07,6.7764041074326302e+00,7.2378648563716264e-01,2.5970074877240098e-03
6.8181818181818191e-02,4.4118217345083037e-06,1.5673460129146594e+14,2.2436448950342739e+10,8.6522469729279621e-07,6.7629892388550346e+00,7.2379238579098482e-01,2.6065656152754317e-03
6.9090909090909092e-02,4.6073220849404217e-06,1.6646578385892681e+14,2.3122373409712681e+10,8.5384708027173535e-07,6.7497521148412334e+00,7.2379825051352475e-01,2.6160322208109163e-03
7.0000000000000007e-02,4.8087602405112176e-06,1.7666206945370016e+14,2.3819894197103317e+10,8.4276494530549546e-07,6.7366880879296280e+00,7.2380408048274203e-01,2.6254093741571957e-03
7.0909090909090922e-02,5.0162359621716302e-06,1.8733921777821900e+14,2.4529053124172234e+10,8.3196692845411981e-07,6.7237926905769951e+00,7.2380987635501692e-01,2.6346990721645537e-03
7.1818181818181823e-02,5.2298493691230080e-06,1.9851330913936303e+14,2.5249891615176308e+10,8.2144224114361328e-07,6.7110616259898412e+00,7.2381563876610333e-01,2.6439032421785285e-03
7.2727272727272724e-02,5.4497009355284624e-06,2.1020074674697647e+14,2.5982450715504982e+10,8.1118063420656996e-07,6.6984907595324392e+00,7.2382136833203015e-01,2.6530237453047880e-03
7.3636363636363639e-02,5.6758914872959807e-06,2.2241825899957291e+14,2.6726771099919430e+10,8.0117236458641580e-07,6.6860761106685942e+00,7.2382706564995059e-01,2.6620623794819044e-03
7.4545454545454554e-02,5.9085221989310710e-06,2.3518290175748059e+14,2.7482893080512238e+10,7.9140816447787336e-07,6.6738138453978229e+00,7.2383273129894654e-01,2.6710208823755638e-03
7.5454545454545455e-02,6.1476945904566851e-06,2.4851206060366319e+14,2.8250856614400822e+10,7.8187921269818169e-07,6.6617002691499785e+00,7.2383836584078787e-01,2.6799009341066347e-03
7.6363636363636370e-02,6.3935105243979745e-06,2.6242345309242406e+14,2.9030701311165756e+10,7.7257710810319126e-07,6.6497318201053943e+00,7.2384396982065202e-01,2.6887041598245009e-03
7.7272727272727271e-02,6.6460722028298182e-06,2.7693513098621400e+14,2.9822466440045689e+10,7.6349384487993190e-07,6.6379050629103196e+00,7.2384954376780586e-01,2.6974321321361697e-03
7.8181818181818186e-02,6.9054821644851554e-06,2.9206548248075706e+14,3.0626190936899937e+10,7.5462178956291162e-07,6.6262166827598996e+00,7.2385508819625011e-01,2.7060863734008397e-03
7.9090909090909101e-02,7.1718432819220422e-06,3.0783323441868919e+14,3.1441913410948418e+10,7.4595365963546970e-07,6.6146634798232169e+00,7.2386060360533255e-01,2.7146683578988416e-03
8.0000000000000002e-02,7.4452587587501394e-06,3.2425745449212731e+14,3.2269672151309555e+10,7.3748250358998713e-07,6.6032423639867774e+00,7.2386609048032857e-01,2.7231795138833066e-03
8.0909090909090917e-02,7.7258321268989837e-06,3.4135755343298306e+14,3.3109505133276512e+10,7.2920168233289867e-07,6.5919503498957832e+00,7.2387154929299258e-01,2.7316212255214713e-03
8.1818181818181818e-02,8.0136672439686642e-06,3.5915328719488462e+14,3.3961450024524311e+10,7.2110485182809931e-07,6.5807845522707611e+00,7.2387698050208216e-01,2.7399948347345327e-03
8.2727272727272733e-02,8.3088682906021762e-06,3.7766475912176944e+14,3.4825544190998444e+10,7.1318594688601166e-07,6.5697421814847177e+00,7.2388238455385667e-01,2.7483016429399204e-03
8.3636363636363634e-02,8.6115397679199604e-06,3.9691242210693669e+14,3.5701824702677277e+10,7.0543916600932937e-07,6.5588205393812826e+00,7.2388776188255000e-01,2.7565429127039448e-03
8.4545454545454549e-02,8.9217864950068352e-06,4.1691708074206788e+14,3.6590328339177658e+10,6.9785895721630670e-07,6.5480170153187318e+00,7.2389311291082248e-01,2.7647198693099831e-03
8.5454545454545464e-02,9.2397136064415526e-06,4.3769989345561538e+14,3.7491091595175537e+10,6.9044000476910522e-07,6.5373290824258303e+00,7.2389843805018972e-01,2.7728337022470584e-03
8.6363636363636365e-02,9.5654265498728484e-06,4.5928237464119600e+14,3.8404150685670975e+10,6.8317721674030300e-07,6.5267542940557535e+00,7.2390373770143135e-01,2.7808855666238649e-03
8.7272727272727280e-02,9.8990310836407878e-06,4.8168639677615756e+14,3.9329541551104034e+10,6.7606571335645497e-07,6.5162902804256468e+00,7.2390901225498139e-01,2.7888765845127117e-03
8.8181818181818181e-02,1.0240633274440923e-05,5.0493419253036656e+14,4.0267299862322571e+10,6.6910081606266749e-07,6.5059347454303342e+00,7.2391426209130016e-01,2.7968078462275140e-03
8.9090909090909096e-02,1.0590339495029777e-05,5.2904835686533050e+14,4.1217461025406731e+10,6.6227803725669254e-07,6.4956854636194672e+00,7.2391948758122804e-01,2.8046804115396964e-03
9.0000000000000011e-02,1.0948256421975734e-05,5.5405184912433325e+14,4.2180060186375916e+10,6.5559307064505982e-07,6.4855402773279414e+00,7.2392468908632568e-01,2.8124953108358015e-03
9.0909090909090912e-02,1.1314491033438518e-05,5.7996799511215638e+14,4.3155132235722504e+10,6.4904178217812531e-07,6.4754970939509757e+00,7.2392986695919548e-01,2.8202535462196645e-03
9.1818181818181827e-02,1.1689150607002012e-05,6.0682048916710588e+14,4.4142711812877518e+10,6.4262020152322920e-07,6.4655538833541772e+00,7.2393502154379263e-01,2.8279560925631242e-03
9.2727272727272728e-02,1.2072342717533639e-05,6.3463339622291362e+14,4.5142833310513054e+10,6.3632451403970841e-07,6.4557086754116328e+00,7.2394015317571903e-01,2.8356038985073856e-03
9.3636363636363643e-02,1.2464175235083959e-05,6.6343115386210388e+14,4.6155530878742966e+10,6.3015105322127637e-07,6.4459595576639597e+00,7.2394526218250688e-01,2.8431978874182461e-03
9.4545454545454544e-02,1.2864756322825277e-05,6.9323857436096150e+14,4.7180838429224258e+10,6.2409629357433385e-07,6.4363046730893769e+00,7.2395034888388821e-01,2.8507389582977214e-03
9.5454545454545459e-02,1.3274194435014537e-05,7.2408084672475625e+14,4.8218789639112312e+10,6.1815684390345160e-07,6.4267422179817970e+00,7.2395541359205440e-01,2.8582279866540897e-03
9.6363636363636374e-02,1.3692598315003768e-05,7.5598353871592375e+14,4.9269417954963448e+10,6.1232944097660941e-07,6.4172704399290055e+00,7.2396045661190334e-01,2.8656658253332691e-03
9.7272727272727275e-02,1.4120076993272826e-05,7.8897259887271912e+14,5.0332756596497955e+10,6.0661094354587360e-07,6.4078876358861319e+00,7.2396547824127722e-01,2.8730533053129585e-03
9.8181818181818190e-02,1.4556739785498545e-05,8.2307435852005962e+14,5.1408838560282784e+10,6.0099832670015766e-07,6.3985921503385823e+00,7.2397047877118992e-01,2.8803912364619207e-03
9.9090909090909091e-02,1.5002696290654235e-05,8.5831553377211100e+14,5.2497696623317703e+10,5.9548867652884900e-07,6.3893823735496609e+00,7.2397545848604572e-01,2.8876804082661202e-03
1.0000000000000001e-01,1.5458056389139536e-05,8.9472322752680675e+14,5.3599363346530991e+10,5.9007918507650503e-07,6.3802567398882175e+00,7.2398041766384780e-01,2.8949215905234673e-03
